Name,Date,City ,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Wind Spd. (knots),Air Temp (oF),SST (oF),Bottom Temp (oF),Cloud Cover,Baseline Indicator,Baseline Indicator,Baseline Indicator,Bleaching?,Severity,% bleached,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,Disease?,Disease Branching/Pillar,Disease Brain,Disease Encrusting/Mound/Boulder,Disease Flowering/Cup,Disease Leaf/Plate/Sheet,Disease Fleshy,Notes,,,,,,,,,,,,,,,,,,,,
Cory Walter,7/2/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.53327,-81.46967,30,Site AA Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,7/2/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.53867,-81.45764,30,Site U Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,7/2/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.55256,-81.38395,30,Site A Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Peter Horton,7/6/2020,Key West,Florida,Resident,Private,24.54245,-81.78980,10 ft or less,Casa Marina Reef,Not Provided,Calm,90,87,84,Clear,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Peter Horton,7/6/2020,Key West,Florida,Resident,Private,24.45445,-81.85772,20,Rock Key SPA,Not Provided,5-10 kts,85,85,81,Partly Cloudy,Palythoa,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Peter Horton,7/6/2020,Key West,Florida,Resident,Private,24.44517,-81.92747,20,Western Dry Rocks,Not Provided,5-10 kts,86,85,81,Partly Cloudy,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,No,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,7/6/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.52275,-81.52003,30,Site Q Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,7/6/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.51851,-81.54066,30,Site AB Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Sarah Hamlyn,7/7/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.61440,-81.39333,10 ft or less,Newfound Harbor SPA,Not Provided,Calm,Not Provided,Not Provided,90,Partly Cloudy,Fire Coral,None,None,Yes,Paling (upper surface),1-10%,Not Present,No Stress,Paling,Not Present,Not Present,Not Present,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,The paling/partial bleaching was limited to fire coral and SSID. Very low incidence over entire site.,,,,,,,,,,,,,,,,,,,,
Karen Neely,7/8/2020,Big Pine Key,Florida,Research,NOVA University,24.54616,-81.40376,20,Looe Key Reef SPA,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Fire Coral,Palythoa,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Other,"Black Band Disease, Stony Coral Tissue Loss (SCTLD)","Black Band Disease, Stony Coral Tissue Loss (SCTLD)",Not Present,Not Present,Not Present,White pox on APAL,,,,,,,,,,,,,,,,,,,,
Cory Walter,7/9/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.45170,-81.88620,30,Site BB Outplant,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,None,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,7/10/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.45494,-81.85585,30,Rock Key SPA,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Palythoa,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
Cory Walter,7/10/2020,Summerland Key,Florida,Research,Mote Marine Laboratory (MML),24.45862,-81.84569,30,Eastern Dry Rocks SPA,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Palythoa,None,None,No,None,0%,No Stress,No Stress,No Stress,No Stress,No Stress,No Stress,Yes,Not Present,Stony Coral Tissue Loss (SCTLD),Stony Coral Tissue Loss (SCTLD),Not Present,Not Present,Not Present,No comments,,,,,,,,,,,,,,,,,,,,
